_id,nome,cpf,rua,numero,cidade,uf,cep,telefone
1,João Carlos Martins,78912345612,Rua 7,325,Franca,SP,14100-657,(14) 99876-4506
2,Paulo Roberto Carvalho,87413465188,Rua Caetano Veloso,147,Pedregulho,SP,13753-987,(14) 99987-6456
3,Antonio José do Nascimento,10936798411,Avenida Brasil,99,Itumbiara,GO,45687-321,(64) 98765-1209
4,Maria Aparecida Silva,912356199,Avenida Presidente Vargas,756,Passos,MG,26578-987,(33) 97865-3214
5,Carla Roberto Pinto Soares,98743251455,Rua Pinto Ribeiro,32,Santa Rita de Cassia,MG,36549-120,(31) 98076-4312
6,Bernardina Santos Correa,29616335104,Rua do Comércio,714,Cristais Paulista,SP,14852-789,(12) 956318721
7,Fortunato Santana Amaral,31245643285,Rua São Francisco,338,Mococa,SP,13705-852,(14) 987526314
8,Waldemar Costa Pereira,7356787312,Largo São Francisco,1235,Claraval,MG,15789-254,(35) 97845-3672
9,Paula Francisca Ponciano,74754187422,Parque Dom Pedro,745,Cassia dos Coqueiros,SP,17895-631,(15) 98725-6381
10,Pedro Paulo Barata Ribeiro,14576509834,Rua da Indústria,11,Uberlandia,MG,357951-456,(32) 97415-8345
